spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_inc_1_material,layer_3_inc_1_shape,layer_3_inc_1_fraction,layer_3_matrix_fraction
36,482.876634568619,0.08140404425791682,0.06789337725058753,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,483.30434757285144,0.08130401819560275,0.06794606523864148,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,483.73204985032874,0.08093093093093094,0.06800307540132128,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,484.15974140105084,0.08080327259204166,0.06805999952608646,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,484.58742222501775,0.08123711340206187,0.06812019607485845,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,485.01509232222946,0.08152158010241406,0.06818128308015367,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,485.442751692686,0.08101265822784812,0.0682437088476784,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,485.8704003363873,0.08083094555873925,0.06830813723515823,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,486.2980382533335,0.07940446650124071,0.06837258148006556,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
36,486.7256654435245,0.07915819010873379,0.06843952820073965,0.006779536553351506,Cu,40.42862078547478,sphere,1.0,Cu2O,0.0,sphere,Vacuum,sphere,0.0,1.0,CuO,0.0,sphere,Vacuum,sphere,0.0,1.0
