spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_inc_1_material,layer_1_inc_1_shape,layer_1_inc_1_fraction,layer_1_matrix_fraction,layer_2_matrix,layer_2_thickness_nm,layer_2_matrix_shape,layer_2_inc_1_material,layer_2_inc_1_shape,layer_2_inc_1_fraction,layer_2_matrix_fraction,layer_3_matrix,layer_3_thickness_nm,layer_3_matrix_shape,layer_3_matrix_fraction
7,678.492192970818,0.2535207466546722,0.24597968349964253,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,678.9149716676659,0.25404049855897,0.24591831644715917,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,679.3377396377588,0.2538915518274416,0.24585856388385105,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,679.7604968810964,0.25401824435471815,0.24579943070733437,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,680.1832433976789,0.2540581769236521,0.24574324262021977,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,680.6059791875061,0.2530767218505923,0.24568751771208489,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,681.0287042505782,0.252435557876674,0.24563448481555547,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,681.4514185868952,0.25296724613892413,0.24558292427747408,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,681.8741221964569,0.2535987154113298,0.2455329793889212,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,682.2968150792634,0.2525919309215424,0.24548600428706996,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,682.7194972353147,0.25268394399761696,0.24543945708059747,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,683.142168664611,0.2524978566369703,0.24539639989785594,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,683.5648293671519,0.2522379603399434,0.24535393206712058,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,683.9874793429377,0.25143411141770455,0.24531333578883954,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,684.4101185919684,0.25154599118284393,0.24527421901182594,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,684.8327471142438,0.2514315569487984,0.24523588263189594,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,685.255364909764,0.25225093353248695,0.2451994022950498,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,685.6779719785292,0.25148825065274155,0.24516331245758102,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,686.100568320539,0.2515611940298508,0.24512858129364887,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,686.5231539357937,0.251818113940118,0.24509441526238632,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,686.9457288242932,0.25173006501756223,0.24506085741463376,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,687.3682929860375,0.25140202322967403,0.24502793113834784,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,687.7908464210267,0.2515628284041435,0.2449953568652555,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,688.2133891292607,0.2521440642956398,0.24496298639854855,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,688.6359211107394,0.2514362980769231,0.24493098148313722,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,689.0584423654631,0.25160183582875634,0.24489872536087506,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,689.4809528934315,0.2513241597112565,0.24486660716880992,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,689.9034526946448,0.25132631578947373,0.24483431127990546,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,690.3259417691028,0.25086029992107345,0.24480141178225928,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,690.7484201168056,0.25115355692585356,0.24476888306682754,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,691.1708877377533,0.2507855370968955,0.24473457964331602,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,691.5933446319459,0.24978991596638658,0.24470062519442842,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,692.0157907993831,0.2495830516114492,0.2446658233991091,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,692.4382262400653,0.2496141986914342,0.24463065317844906,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,692.8606509539923,0.24976595183356579,0.24459557962685358,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,693.283064941164,0.2503342776203966,0.2445600483637,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,693.7054682015805,0.2511003334343741,0.24452490000519067,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,694.1278607352419,0.25114288965595727,0.24448943932172637,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,694.5502425421482,0.25096264804129975,0.24445426707524956,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,694.9726136222993,0.25096783980582527,0.2444192456339029,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,695.394973975695,0.2515374976267325,0.24438438287179307,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,695.8173236023357,0.2512414028954668,0.24434988306045186,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
7,696.2396625022212,0.25160161302594536,0.24431565698397273,0.00782204290606092,Cu,39.73910626582801,sphere,Cu2O,sphere,0.9229090467670176,0.07709095323298243,Cu2O,1.819884179159999,sphere,CuO,sphere,0.24706679553491995,0.75293320446508,CuO,7.49942894349806,sphere,1.0
