spectrum,wavelength_nm,T_exp,T_fit,RMSE,layer_1_matrix,layer_1_thickness_nm,layer_1_matrix_shape,layer_1_inc_1_material,layer_1_inc_1_shape,layer_1_inc_1_fraction,layer_1_inc_2_material,layer_1_inc_2_shape,layer_1_inc_2_fraction,layer_1_matrix_fraction
3,783.0127707313611,0.3570789685737309,0.34719247443996193,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,783.4328891929237,0.35774954627949185,0.34730475291547974,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,783.8529969277309,0.3583920715983213,0.3474186414984643,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,784.273093935783,0.3586609268169157,0.3475336867998335,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,784.69318021708,0.359477721891988,0.3476494097583992,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,785.1132557716217,0.3607719799857041,0.3477664595090148,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,785.5333205994083,0.36052043847966403,0.34788386179738495,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,785.9533747004397,0.35984178353110396,0.3480021207147187,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,786.3734180747158,0.35957073573418635,0.34812079299794196,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
3,786.7934507222369,0.3588787362552269,0.34823976192822526,0.016495450827837255,Cu,29.687431421130896,sphere,Cu2O,sphere,0.8050264995545149,CuO,sphere,0.13595647034526337,0.059017030100221746
