sampCu9		
Wavelength (nm)	%T	
634	7.311097622	
633	7.349435329	
632	7.617284298	
631	7.513807774	
630	7.405426502	
629	7.715259552	
628	7.800875664	
627	7.738430023	
626	7.930530071	
625	8.04117012	
624	8.121283531	
623	8.209693909	
622	8.303659439	
621	8.391636848	
620	8.490551949	
619	8.603363037	
618	8.669989586	
617	8.787883759	
616	8.962409973	
615	9.08825016	
614	9.157894135	
613	9.272210121	
612	9.448094368	
611	9.485537529	
610	9.553833961	
609	9.768281937	
608	9.959127426	
607	10.11963749	
606	10.04313183	
605	10.28772545	
604	10.25065613	
603	10.45868874	
602	10.74552345	
601	10.76968193	
600	10.85924244	
599	11.18872166	
598	11.19740582	
597	11.48164749	
596	11.47915936	
595	12.18369007	
594	12.07959652	
593	12.1952343	
592	12.50076485	
591	12.46571541	
590	12.8732233	
589	12.92044353	
588	12.9432354	
587	13.06453514	
586	13.31441879	
585	13.47279835	
584	13.35898972	
583	13.57309818	
582	13.86340714	
581	13.5361433	
580	13.86380672	
579	13.99595737	
578	13.94523811	
577	14.20462608	
576	14.1672802	
575	14.21932983	
574	14.00446129	
573	14.06315613	
572	14.10884857	
571	14.04690933	
570	14.45324707	
569	14.37033272	
568	14.22876263	
567	13.81448364	
566	13.8240099	
565	13.66806316	
564	13.34827232	
563	13.37735176	
562	13.78163528	
561	13.53468609	
560	13.11605167	
559	12.87003613	
558	12.7343502	
557	12.63025284	
556	12.7617178	
555	12.36161423	
554	12.50625515	
553	12.27425575	
552	12.64545155	
551	11.81083202	
550	11.63640022	
549	11.68238735	
548	11.5595274	
547	11.26090336	
546	11.61828899	
545	11.24326992	
544	11.30101204	
543	11.19406509	
542	10.33075809	
541	10.71854782	
540	10.12399006	
539	10.51252556	
538	10.29848957	
537	9.725481033	
536	9.818285942	
535	9.722285271	
534	9.963500023	
533	9.611569405	
532	9.57796669	
531	9.194117546	
530	9.487707138	
529	9.327758789	
528	9.259947777	
527	9.161201477	
526	9.373765945	
525	9.159193039	
524	9.176057816	
523	8.919355392	
522	8.894014359	
521	9.177596092	
520	8.81272316	
519	9.039948463	
518	8.592997551	
517	8.344567299	
516	8.198072433	
515	8.550469398	
514	8.473312378	
513	8.332156181	
512	8.124178886	
511	8.417470932	
510	8.274848938	
509	8.042838097	
508	8.274717331	
507	7.899677753	
506	7.757462025	
505	8.090484619	
504	8.142803192	
503	8.074319839	
502	7.971535683	
501	7.832356453	
500	8.201436996	
499	7.6020298	
498	7.681423187	
497	7.760854244	
496	7.887407303	
495	7.672707081	
494	7.417201996	
493	7.886878967	
492	7.6279459	
491	7.325216293	
490	7.505907059	
489	7.37813282	
488	7.644942284	
487	7.489881516	
486	7.49695015	
485	7.375351429	
484	7.237056732	
483	7.649177551	
482	7.69295311	
481	7.646388531	
480	7.798938274	
479	7.61019516	
478	7.283462048	
477	7.249932766	
476	7.648052216	
475	7.60037899	
474	7.261607647	
473	7.547867298	
472	7.279286385	
471	7.329260349	
470	7.277932167	
469	7.836400032	
468	7.43016243	
467	6.967762947	
466	7.203046322	
465	7.346351624	
464	7.378718376	
463	7.377354622	
462	7.539495945	
461	7.119947433	
460	7.369183064	
459	7.766874313	
458	7.421172619	
457	7.342784882	
456	7.225721359	
455	7.355638504	
454	7.238528728	
453	6.94618082	
452	6.973285198	
451	7.659183979	
450	7.879600048	
449	6.954624653	
448	7.357820988	
